algo,nb_stocks,seed,price,fit_time_s,path_gen_s
LSM,2,42,17.058516139716616,0.1933286190032959,0.06081223487854004
LSM,2,1042,16.971308798932924,0.22424769401550293,0.10078191757202148
LSM,2,2042,17.194352954502776,0.22788286209106445,0.1531515121459961
NLSM,2,42,15.435532368496865,12.885639190673828,0.08879971504211426
NLSM,2,1042,15.533705509256338,11.202010869979858,0.05673718452453613
NLSM,2,2042,15.569617877784765,11.759804725646973,0.054200172424316406
RLSM,2,42,17.414822109538765,1.3949759006500244,0.055969953536987305
RLSM,2,1042,17.381249147384334,1.4574601650238037,0.08896517753601074
RLSM,2,2042,17.490107313420463,1.6513535976409912,0.09650349617004395
LSM,5,42,28.92217362961914,0.5148975849151611,0.15983200073242188
LSM,5,1042,29.16679804116341,0.49728918075561523,0.15121912956237793
LSM,5,2042,28.98746792810278,0.5374560356140137,0.18029546737670898
NLSM,5,42,27.035846575818283,15.386118650436401,0.18025636672973633
NLSM,5,1042,27.45166034263822,15.89082956314087,0.12688994407653809
NLSM,5,2042,27.058246969954716,17.822516441345215,0.14203381538391113
RLSM,5,42,28.954555496856788,1.5851836204528809,0.1270604133605957
RLSM,5,1042,29.137251725779052,1.5817584991455078,0.17543649673461914
RLSM,5,2042,28.814096019390593,1.5321564674377441,0.17338061332702637
LSM,10,42,38.033105954611756,1.41656494140625,0.2982666492462158
LSM,10,1042,38.22666906933762,1.4175975322723389,0.28858470916748047
LSM,10,2042,38.29468030327952,1.3301868438720703,0.2957890033721924
NLSM,10,42,36.54293547007181,15.024816513061523,0.3029651641845703
NLSM,10,1042,36.98242312909452,15.14629316329956,0.2634446620941162
NLSM,10,2042,36.842545835798816,15.925301551818848,0.2648477554321289
RLSM,10,42,37.67382174116258,1.856433629989624,0.24960565567016602
RLSM,10,1042,37.89595100234815,1.8440845012664795,0.3071572780609131
RLSM,10,2042,37.907373413922905,1.9859728813171387,0.3075077533721924
