model,payoff,spot,strike,maturity,volatility,drift,dividend,nb_stocks,nb_dates,nb_paths,algo,n_runs,price_mean,price_ci95_halfwidth,duration_mean,time_path_gen_mean,comp_time_mean
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,25,20000,LSM,20.0,6.0358338855362925,0.03370828600812153,0.16523622274398805,0.07467516660690307,0.09056105613708497
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,25,20000,NLSM,20.0,6.023763241756135,0.03373997367231965,5.170422625541686,0.06589399576187134,5.104528629779816
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,25,20000,RLSM,20.0,6.017584552908232,0.03365065447025768,0.6680273652076721,0.08467618227005005,0.5833511829376221
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,50,20000,LSM,20.0,6.088311185952097,0.024972512586497863,0.35252065658569337,0.1388313889503479,0.21368926763534546
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,50,20000,NLSM,20.0,6.034098271571879,0.03280242746811728,9.2018021941185,0.09809311628341674,9.103709077835084
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,50,20000,RLSM,20.0,6.010448601404838,0.03707150657526947,1.2884899735450746,0.11086689233779908,1.1776230812072754
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,100,20000,LSM,20.0,6.0712727947048695,0.0274018575994428,0.6765523433685303,0.2525531053543091,0.4239992380142212
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,100,20000,NLSM,20.0,6.031274526949611,0.034163443629838953,19.124940407276156,0.2228085994720459,18.90213180780411
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,100,20000,RLSM,20.0,6.022781290047057,0.03658192824755368,2.1799412965774536,0.2652071833610535,1.9147341132164
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,200,20000,LSM,20.0,6.061359249447781,0.030880077523953307,1.3850731372833252,0.5045962572097779,0.8804768800735474
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,200,20000,NLSM,20.0,6.001588564853487,0.01785588307101621,39.04931528568268,0.4494274377822876,38.59988784790039
BlackScholes,MinPut,100,100,1.0,0.2,0.05,0.0,1,200,20000,RLSM,20.0,5.980986024316742,0.04135087341681145,4.489388298988343,0.5829452872276306,3.906443011760712
