algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,use_path,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.087255451101932,45.74704718589783,45.05990266799927,0.6871445178985596,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.1281589253781887,38.28377842903137,37.727750301361084,0.5560281276702881,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.1785168246445346,54.01279640197754,53.31503343582153,0.6977629661560059,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.1151076675295353,68.28006792068481,65.57742738723755,2.7026405334472656,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.059884796728387,63.3573784828186,61.44296169281006,1.914416790008545,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.0701557728728535,43.66705656051636,43.104299783706665,0.5627567768096924,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.1279882454107306,39.74144220352173,39.138267517089844,0.6031746864318848,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.063749296822308,63.95832538604736,63.160926818847656,0.797398567199707,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.158131838219917,49.86844778060913,49.233954429626465,0.634493350982666,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.1787861276756257,57.206787109375,56.57959222793579,0.627194881439209,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.079531089048297,46.84346961975098,46.31087803840637,0.5325915813446045,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.1100074338473007,58.37910485267639,57.65019178390503,0.7289130687713623,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.097690540512054,56.13904166221619,55.34043526649475,0.7986063957214355,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.18756045132656,52.40545105934143,51.80463218688965,0.6008188724517822,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.1298320088813703,58.25629234313965,57.7024507522583,0.5538415908813477,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.1223391048107203,52.199700355529785,51.60118627548218,0.5985140800476074,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.1139121758720716,55.16487002372742,54.62126660346985,0.5436034202575684,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.1442129791980107,58.2597222328186,57.66231369972229,0.5974085330963135,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.2054812680701055,66.13273525238037,65.44872808456421,0.6840071678161621,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.1743613850640022,56.34205627441406,55.64428472518921,0.6977715492248535,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.219327819010924,74.90409779548645,58.15325975418091,16.750838041305542,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.263588478892244,60.18534517288208,49.79871654510498,10.3866286277771,,,,,,central,
NLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,99.5,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.2617943920881216,70.18184399604797,58.1719605922699,12.009883403778076,,,,,,central,
