algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,use_path,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,2.9235505451352317,29.15348219871521,28.6397545337677,0.5137276649475098,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,2.966524070467856,30.556344032287598,30.105280876159668,0.4510631561279297,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,2.933765265290722,29.145922899246216,28.60269522666931,0.5432276725769043,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,2.957047596936342,29.55349636077881,29.007253646850586,0.5462427139282227,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,2.905494498504795,28.710631847381592,28.252357482910156,0.45827436447143555,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,2.970715222055952,29.157862663269043,28.413005352020264,0.7448573112487793,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,2.932861066111931,30.230656623840332,29.724088668823242,0.5065679550170898,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,2.923991540515438,30.4277081489563,29.856229782104492,0.5714783668518066,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,3.0116041653887935,30.467984199523926,29.88233256340027,0.5856516361236572,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,2.934677900087598,29.535078525543213,29.06148052215576,0.47359800338745117,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,2.9047406598313485,29.393430471420288,28.957847118377686,0.43558335304260254,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,2.928446626515898,29.56271505355835,29.133949279785156,0.42876577377319336,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,2.8924083257988364,31.08065128326416,30.568618059158325,0.512033224105835,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,2.93595644068538,29.77101993560791,29.35841393470764,0.41260600090026855,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,2.95045566420528,29.901224851608276,29.390070915222168,0.5111539363861084,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,2.9528169338507486,29.790372610092163,29.286425590515137,0.5039470195770264,,,,,,central,
RLSM,Heston,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,2.9040018253535083,30.67895483970642,30.216280698776245,0.4626741409301758,,,,,,central,
