algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,use_path,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,100000,50,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.0294040657698105,11.396188020706177,2.7537879943847656,8.642400026321411,-0.42066106272722337,0.023116177195505322,-2.2184599221764576,-30.3142487628609,37.34167716471027,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,100000,50,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.063022917576532,11.526098489761353,2.8409178256988525,8.6851806640625,-0.4088511878772554,0.0228053494499827,-2.2136628047314364,-30.046448714965706,37.15980710171613,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,100000,50,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.06617376342146,11.826008081436157,2.8347716331481934,8.991236448287964,-0.42256086599661025,0.02322547767841108,-2.2289825175280917,-30.338025151525443,37.45879190553189,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,100000,50,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.06493981578123,11.349603414535522,2.789700746536255,8.559902667999268,-0.4265411821121714,0.023319211862944,-2.227889471238882,-30.15398806406439,37.35584276297751,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,100000,50,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.040852366457642,10.693173885345459,2.7652485370635986,7.92792534828186,-0.41931016792497733,0.02323778376616653,-2.248963295285538,-29.62395535229486,37.301565727679815,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,100000,50,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.067477856389786,12.448103904724121,2.811811923980713,9.636291980743408,-0.42742636180379145,0.023329555673424172,-2.225405432846388,-29.52556395272335,37.01679210733185,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,100000,50,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.06246395963268,11.19111680984497,2.798753023147583,8.392363786697388,-0.41737143587760395,0.02309057827847549,-2.228135278325445,-29.801526898192773,37.18207140610492,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,100000,50,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.103704208236053,11.548961162567139,2.8169233798980713,8.732037782669067,-0.423372833356662,0.023247663261615422,-2.2274832751279727,-29.775513538542693,37.162544397597415,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,100000,50,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,5.976860820712233,11.438510417938232,2.774778127670288,8.663732290267944,-0.4195964726033381,0.022970741009176822,-2.197322797783063,-29.892412560113733,36.91938883472824,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,100000,50,100,100,0.0,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.019614551223128,11.624730110168457,2.8106207847595215,8.814109325408936,-0.4232066590603929,0.023181099836919405,-2.2192059445207613,-30.085317971801217,37.23467266188108,regression,
