algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,use_path,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.078010131236809,0.5614993572235107,0.2020120620727539,0.35948729515075684,-0.3978962212038568,0.02249761857693955,-2.2061421028067856,-31.429664120406233,37.776282669130865,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.117382400762409,0.5197701454162598,0.19581937789916992,0.32395076751708984,-0.4383781733132608,0.023431819554293326,-2.188603924254241,-30.316118886285217,37.044127278542405,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.135989408803312,0.4611959457397461,0.18090391159057617,0.2802920341491699,-0.40407444205837617,0.022611942059931268,-2.1952167312542077,-31.81561710401384,37.86000737501208,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,5.939428757417829,0.5206177234649658,0.2278900146484375,0.2927277088165283,-0.4069307267893203,0.022455128848489624,-2.1594006978804323,-30.97258953578273,37.08033016952813,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.181345027853766,0.5544543266296387,0.2286844253540039,0.32576990127563477,-0.4091426383613119,0.022773148667776476,-2.199849290356048,-33.31679309795731,38.65692106472876,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.096040068246168,0.5358517169952393,0.21785497665405273,0.3179967403411865,-0.41442537591785866,0.02269711466102788,-2.162494049203975,-32.24936172596445,37.749651380040476,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,5.992480377152219,0.5453393459320068,0.21699309349060059,0.32834625244140625,-0.4098337265465779,0.02233395984634805,-2.11799931767911,-31.503801077609463,36.93192348161963,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.0143093572408475,0.5293071269989014,0.21407461166381836,0.315232515335083,-0.4284179188697048,0.022847007653655927,-2.12659646852062,-31.627883420308827,37.0799372510609,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.113564355897253,0.5226154327392578,0.21540379524230957,0.30721163749694824,-0.44427185980193906,0.02352638375609374,-2.1782392344141908,-31.53322124281894,37.5490336698855,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.0375916268649235,0.6091701984405518,0.2325124740600586,0.37665772438049316,-0.4265434686264795,0.023136016638288643,-2.1926064031820856,-31.90663402581101,37.87941153150587,regression,
