algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,use_path,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.161293335699227,2.2365365028381348,0.834148645401001,1.4023878574371338,-0.4085384764662092,0.022958854828960998,-2.2410139166761933,-30.32873749005327,37.57446192585766,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.045703336797658,1.7034213542938232,0.5484440326690674,1.1549773216247559,-0.4205997539861679,0.022995378500588904,-2.1937917633470594,-29.506888964330248,36.69131643068424,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.049206985332631,2.1445765495300293,0.7417700290679932,1.4028065204620361,-0.41632557755639477,0.023043198937642173,-2.22455155047983,-31.260356584622908,37.87564525479809,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.114079941340947,2.1782217025756836,0.6878786087036133,1.4903430938720703,-0.4254425381669127,0.02338903334283575,-2.24488998066554,-31.05883779167895,37.97827174354678,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.016303025615542,1.7035491466522217,0.6087408065795898,1.0948083400726318,-0.4245280050818079,0.023285006892691227,-2.2335462018484296,-29.639627402836073,37.15523056177678,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,5.95525186781822,1.8817229270935059,0.6873419284820557,1.1943809986114502,-0.4335738772046289,0.023422372897818514,-2.2188426001496473,-28.588141307724772,36.482453877439376,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,5.97133563571137,2.0180232524871826,0.6440963745117188,1.3739268779754639,-0.41711799600407673,0.02301217338125706,-2.218277914445461,-29.551636458163312,36.95855413320395,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.049325491536905,2.328540802001953,0.6958014965057373,1.6327393054962158,-0.39899302702287676,0.02242895144736585,-2.188358879781941,-30.09969148662576,36.93338817178414,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,5.978075104248759,2.0696511268615723,0.6215710639953613,1.448080062866211,-0.4195187953874564,0.022918850940014772,-2.187272455853235,-29.253714149471595,36.49953755491241,regression,
LSM,BlackScholes,MinPut,0.05,0.2,0.01,2,-0.3,0.75,1,20000,50,100,100,0.0,1.0,30,50,"(1.0, 1.0, 1.0)",1.0,True,True,False,6.104586696555103,2.0582735538482666,0.9334111213684082,1.1248624324798584,-0.4432838919042097,0.023672805067982094,-2.2129122192476154,-29.228642374740513,36.743399288982715,regression,
