algo,nb_dates,n_runs,price_mean,price_ci95_half,price_ci95_low,price_ci95_high,duration_mean,duration_std,time_path_gen_mean,comp_time_mean,delta_mean,delta_std
LSM,10,20.0,6.048912337980456,0.03283102246081106,6.016081315519645,6.0817433604412665,0.5814878821372986,0.06237769922605496,0.22427732944488527,0.3572105526924133,-0.42062546343932433,0.01436304239239153
NLSM,10,20.0,6.021773700913749,0.02329662051243945,5.998477080401309,6.045070321426189,8.832284426689148,0.4919247241050652,0.07853430509567261,8.753750121593475,-0.41754164385707293,0.011178681336657458
RLSM,10,20.0,6.103907937792256,0.02636431094281146,6.077543626849445,6.130272248735067,3.6146474123001098,0.07163395889232596,0.16448678970336914,3.4501606225967407,-0.42175895505117167,0.009818099854899329
LSM,25,20.0,6.005606581838765,0.03108471460275267,5.974521867236012,6.036691296441518,1.2420966386795045,0.09945270858693948,0.43049074411392213,0.8116058945655823,-0.4240681990501006,0.009628910704258267
NLSM,25,20.0,6.0490951799719594,0.031904537921677224,6.0171906420502825,6.080999717893636,23.704376554489137,2.1007928407797647,0.1957698106765747,23.50860674381256,-0.4200881284065616,0.007685395613894276
RLSM,25,20.0,6.13952505636406,0.029734468634467194,6.109790587729592,6.169259524998528,9.544789755344391,0.25551396520851655,0.3612375020980835,9.183552253246308,-0.4210622884594719,0.009142565151573766
LSM,50,20.0,6.050858138696205,0.03039355402591277,6.020464584670292,6.081251692722117,2.2344451904296876,0.12579922151502823,0.612141489982605,1.6223037004470826,-0.4207126997906016,0.010176201385359747
NLSM,50,20.0,6.046732150850287,0.02787776591573972,6.0188543849345475,6.074609916766027,46.85035536289215,2.8621335942947526,0.35162020921707154,46.49873515367508,-0.4169719878759245,0.009421693727905115
RLSM,50,20.0,6.145976338541048,0.024076464994286863,6.121899873546761,6.170052803535334,19.38860950469971,0.22916338720636872,0.5384681463241577,18.85014135837555,-0.43096960476589496,0.010066319490877502
LSM,100,20.0,6.061831631464081,0.023273878878183156,6.0385577525858976,6.085105510342264,4.182711184024811,0.2114121525197575,0.975030267238617,3.207680916786194,-0.42116782486058585,0.011113903634491681
NLSM,100,20.0,6.0539327193429795,0.03285615806102884,6.021076561281951,6.086788877404008,95.52313457727432,5.185124143989562,0.768952476978302,94.75418210029602,-0.41827975297032616,0.009139027516666913
RLSM,100,20.0,6.15294186302358,0.024097978346991473,6.128843884676589,6.177039841370571,42.469092071056366,7.577519720760686,0.9831306457519531,41.48596142530441,-0.4224619477146133,0.009051001778541344
